id_amostra;Mensagem;avaliacao_manual;confianca_1a5;justificativa_curta
Q01;A mulher que é dona de casa, solteira e comanda realmente seus filhos, ela ganha R$ 1.200 por mês [de Auxílio Brasil];Ham;4;
Q02;“Nós temos hoje no Brasil 33 milhões de pessoas que passam fome”.;Ham;5;
Q03;bom dia meus amigos queridos, vamos almoçar um bife a milanesa de carne moida e um delicioso suco de pitanga colhido do meu quintal.;Ham;5;
Q04;Mais uma palhaçada da Cristina Kirchner Comunista, tudo foi uma armação não tinha bala na pistola ?? tinha água e a mídia fazendo o trabalho sujo de mentir pro povo .”;Spam;5;
Q05;De: Wendy A Robinson <[email protected]>Olá, meu nome é Wendy e estou enviando um e-mail para você sobre meu Honda Accord EX-L 2005 com motor 2.4L L4 movido a gasolina e milhas originais super baixas, apenas 77.379. Nunca tive nem precisei de nenhum trabalho de pintura / carroceria, garagem sempre conservada, sem problemas mecânicos, pneus e rodas também estão em ótimo estado, a elétrica está funcionando perfeitamente. O motor funciona muito bem e a transmissão automática muda perfeitamente. Tem um título limpo e claro em meu nome e não há gravames ou empréstimos sobre ele. Este carro foi usado pelo meu marido, que morreu há 4 meses. Além disso, espero encontrar um novo dono tão dedicado quanto foi minha alma gêmea. O preço foi reduzido para $ 800 (oitocentos dólares) FIRME porque estou com pressa para encontrar um comprador. Preciso vender o suv rapidamente, vou sair do serviço militar com minha equipe médica fora do país por um ano e não quero guardar meu carro. Odeio vendê-lo, mas não vale a pena manter seguro e pagar taxas de armazenamento por um ano. Caso tenha interesse posso te enviar mais fotos. Obrigado e que Deus abençoe você e sua família!! Sargento Wendy Robinson;Spam;3;levemente suspeito
Q06;Eles são tão bonitos, resistentes, assim como as opções de cores também.;Ham;5;
Q07;“O presidente [Alberto Fernández, da Argentina] visitou Lula na cadeia em Curitiba”;Ham;5;
Q08;“Quatro dos dez bancos mais lucrativos do planeta Terra são brasileiros”;Ham;4;
Q09;“Esses são os seus eleitores”;Spam;3;Frase incompleta
Q10;Então eu pago primeiro... Depois quando o estoque vai chegar...;Ham;5;
Q11;“Só [o estado de] São Paulo é 24% da população brasileira”;Ham;5;
Q12;Ótima xícara. Durará para sempre. Mantém as coisas frescas/quentes.;Ham;5;
Q13;“Nos últimos 12 meses o Brasil pagou R$ 500 bilhões de juros”;Ham;4;
Q14;Tenho procurado as palavras certas para agradecer por esse respiro. Prometo que não considerarei sua ajuda garantida e cumprirei minha promessa. Você tem sido maravilhoso e uma bênção em todos os momentos.;Ham;5;
Q15;Ok lar... Brincando com você oni...;Ham;5;
Q16;Os números Voda de hoje que terminam em 7548 são selecionados para receber um prêmio de US$ 350. Se você tiver uma correspondência, ligue para 08712300220 citando o código de reivindicação 4041 aplicativo de taxas padrão;Spam;5;
Q17;"“Olá, somos do suporte técnico. Detectamos atividade suspeita no seu computador Windows. O senhor autorizou esse acesso?”""";Ham;4;
Q18;Confira aqui:  Quem está com mais votos para sair do 'BBB 26'? Veja como está votação entre Babu, Sarah e Sol;Ham;5;
Q19;querer patríota segundo último oportunidade comprovar presidente bolsonaro reeleger segundo turem o em o primeiro turem o maioria dar ouvir mentiro canalho esquerda conseguir juntar suficiente comprovação ou acreditarrr naquejá vence acreditarrr em esse mentiro pt guardar comprovante sevirio comprovar vitor bolsonaro se acreditarrr vitor bolsonaro ajude ainda usar telegr;Spam;5;
Q20;??Novos jogadores podem reivindicar recompensas exclusivas imediatamente!??;Spam;5;
